ProductID,CurrentPrice,RecommendedPrice,CostPrice,Elasticity,PredictedDemand,CurrentInventory,ExpectedSales,ExpectedRevenue,ExpectedProfit,CurrentProfit,ExpectedProfitUplift,InventoryStatus,RecommendedAction
15036,1.28,1.28,0.768,-3.649099651016513,39.03128433227539,39.0,39.0,49.92,19.968,19.968,0.0,understock,keep_price
16014,0.42,0.35910000000000003,0.252,-5.0,1.360883355140686,3.0,2.978450101239244,1.0695614313550126,0.31899200584272314,0.22862840366363524,0.0903636021790879,overstock,lower_price
17003,0.2269230769230769,0.18948076923076923,0.13615384615384613,-5.0,13.987838745117188,35.0,34.46023538342366,6.529551908324486,1.8376583215044973,1.2696653630183292,0.567992958486168,overstock,lower_price
20724,1.004375,1.20525,0.602625,-1.4733456134000094,129.81594848632812,130.0,99.23541935228049,119.60348917433605,59.801744587168024,52.15355730438233,7.648187282785692,balanced,raise_price
20725,2.8035294117647056,3.3642352941176465,1.6821176470588233,-1.620311276810391,209.60482788085935,105.0,105.0,353.2447058823529,176.62235294117644,117.74823529411765,58.874117647058796,understock,raise_price
20727,1.65,1.9799999999999998,0.9899999999999999,-2.973798509404884,138.8551788330078,69.0,69.0,136.61999999999998,68.30999999999999,45.54,22.76999999999999,understock,raise_price
21080,0.9058620689655172,1.0870344827586207,0.5435172413793103,-3.458713812915845,209.4935302734375,105.0,105.0,114.13862068965517,57.069310344827585,38.04620689655172,19.02310344827586,understock,raise_price
21088,1.66,1.4857,0.9959999999999999,-3.042382683077922,0.2787432372570038,1.0,0.39064035199330016,0.5803743709564461,0.19129658037111913,0.18508550953865052,0.006211070832468607,overstock,lower_price
21096,0.85,0.68,0.51,-2.2877307155068416,0.167471557855606,0.0,0.0,0.0,0.0,0.0,0.0,understock,lower_price
21212,0.6637662337662338,0.7069110389610389,0.39825974025974026,-2.292097261093877,799.9156494140625,2000.0,692.3986816015114,489.464271386178,213.70975229537348,212.38279917689732,1.3269531184761547,overstock,raise_price
21213,1.28,1.536,0.768,-2.534622366695035,214.13499450683597,107.0,107.0,164.352,82.176,54.784,27.392000000000003,understock,raise_price
