StockCode,Date,Quantity,Revenue,AvgPrice,MedianPrice,Transactions,WeightedPrice
15036,2009-12-01,55,35.75,0.65,0.65,2,0.65
15036,2009-12-02,15,19.5,1.3,1.3,2,1.3
15036,2009-12-03,243,119.1,0.89,0.89,2,0.4901234567901234
15036,2009-12-04,12,7.800000000000001,0.65,0.65,1,0.65
15036,2009-12-05,12,7.800000000000001,0.65,0.65,1,0.65
15036,2009-12-07,67,48.1,0.8666666666666667,0.65,3,0.7179104477611941
15036,2009-12-08,29,22.1,0.9750000000000001,0.9750000000000001,2,0.7620689655172415
15036,2009-12-09,3,3.9000000000000004,1.3,1.3,2,1.3
15036,2009-12-10,4,5.2,1.3,1.3,1,1.3
15036,2009-12-14,50,41.6,1.04,1.3,5,0.8320000000000001
15036,2009-12-16,7,9.100000000000001,1.3,1.3,2,1.3000000000000003
15036,2009-12-18,6,7.800000000000001,1.3,1.3,2,1.3
15036,2009-12-22,102,70.2,1.1375,1.3,4,0.6882352941176471
15036,2009-12-23,1,1.3,1.3,1.3,1,1.3
15036,2010-01-04,12,7.800000000000001,0.65,0.65,1,0.65
15036,2010-01-07,36,23.400000000000002,0.65,0.65,1,0.65
15036,2010-01-08,144,93.60000000000001,0.65,0.65,2,0.65
15036,2010-01-11,7,8.98,1.2866666666666668,1.28,3,1.282857142857143
15036,2010-01-12,2,2.56,1.28,1.28,1,1.28
15036,2010-01-13,2,2.56,1.28,1.28,1,1.28
15036,2010-01-14,19,16.76,1.1225,1.28,4,0.8821052631578948
15036,2010-01-18,1,1.28,1.28,1.28,1,1.28
15036,2010-01-19,53,37.6,0.9650000000000001,0.9650000000000001,4,0.709433962264151
15036,2010-01-20,24,15.600000000000001,0.65,0.65,1,0.65
15036,2010-01-22,4,5.12,1.28,1.28,2,1.28
15036,2010-01-24,36,23.400000000000002,0.65,0.65,2,0.65
15036,2010-01-25,5,6.4,1.28,1.28,1,1.28
15036,2010-01-26,13,9.08,0.9650000000000001,0.9650000000000001,2,0.6984615384615385
15036,2010-01-27,17,14.200000000000001,0.9650000000000001,0.9650000000000001,2,0.8352941176470589
15036,2010-01-29,24,15.600000000000001,0.65,0.65,2,0.65
15036,2010-02-01,12,7.800000000000001,0.65,0.65,1,0.65
15036,2010-02-05,24,12.72,0.53,0.53,1,0.53
15036,2010-02-08,50,33.760000000000005,1.07,1.28,3,0.6752000000000001
15036,2010-02-12,48,31.200000000000003,0.65,0.65,1,0.65
15036,2010-02-15,24,15.600000000000001,0.65,0.65,1,0.65
15036,2010-02-16,70,51.800000000000004,0.86,0.65,3,0.7400000000000001
15036,2010-02-17,24,15.600000000000001,0.65,0.65,1,0.65
15036,2010-02-18,96,62.400000000000006,0.65,0.65,1,0.65
15036,2010-02-22,24,15.600000000000001,0.65,0.65,1,0.65
15036,2010-02-24,16,14.120000000000001,1.0150000000000001,1.0150000000000001,2,0.8825000000000001
15036,2010-02-25,62,37.0,0.8533333333333334,0.75,3,0.5967741935483871
15036,2010-02-26,1,0.75,0.75,0.75,1,0.75
15036,2010-03-01,97,73.28,1.0150000000000001,1.0150000000000001,2,0.7554639175257732
15036,2010-03-02,60,76.8,1.28,1.28,2,1.28
15036,2010-03-04,37,28.28,0.9266666666666667,0.75,3,0.7643243243243244
15036,2010-03-08,16,14.120000000000001,1.0150000000000001,1.0150000000000001,2,0.8825000000000001
15036,2010-03-09,15,19.2,1.28,1.28,1,1.28
15036,2010-03-10,72,54.0,0.75,0.75,2,0.75
15036,2010-03-11,1,1.28,1.28,1.28,1,1.28
15036,2010-03-15,26,20.56,1.0150000000000001,1.0150000000000001,2,0.7907692307692307
15036,2010-03-16,72,51.6,0.6833333333333332,0.65,3,0.7166666666666667
15036,2010-03-17,25,19.28,1.0150000000000001,1.0150000000000001,2,0.7712
15036,2010-03-18,24,15.600000000000001,0.65,0.65,1,0.65
15036,2010-03-19,600,318.0,0.53,0.53,1,0.53
15036,2010-03-23,9,6.75,0.75,0.75,1,0.75
15036,2010-03-25,12,10.06,1.0150000000000001,1.0150000000000001,2,0.8383333333333334
15036,2010-03-26,60,45.0,0.75,0.75,1,0.75
15036,2010-03-28,36,25.8,0.7166666666666667,0.75,3,0.7166666666666667
15036,2010-03-29,24,16.8,0.7,0.7,2,0.7000000000000001
15036,2010-03-30,123,72.72,0.8533333333333334,0.75,3,0.5912195121951219
15036,2010-03-31,14,11.56,1.0150000000000001,1.0150000000000001,2,0.8257142857142857
15036,2010-04-01,624,408.0,0.7,0.7,2,0.6538461538461539
15036,2010-04-06,14,11.56,1.0150000000000001,1.0150000000000001,2,0.8257142857142857
15036,2010-04-07,12,9.0,0.75,0.75,1,0.75
15036,2010-04-08,122,82.96000000000001,0.8325,0.7,4,0.68
15036,2010-04-11,84,58.2,0.7,0.7,2,0.6928571428571428
15036,2010-04-14,12,9.0,0.75,0.75,1,0.75
15036,2010-04-15,60,45.0,0.75,0.75,2,0.75
15036,2010-04-18,24,18.0,0.75,0.75,1,0.75
15036,2010-04-19,40,32.120000000000005,0.9620000000000001,0.75,5,0.8030000000000002
15036,2010-04-20,21,20.52,1.0150000000000001,1.0150000000000001,2,0.9771428571428571
15036,2010-04-21,36,27.0,0.75,0.75,2,0.75
15036,2010-04-22,62,47.56,0.9266666666666667,0.75,3,0.7670967741935484
15036,2010-04-23,12,9.0,0.75,0.75,1,0.75
15036,2010-04-25,24,18.0,0.75,0.75,2,0.75
15036,2010-04-26,684,453.0,0.7166666666666667,0.75,3,0.6622807017543859
15036,2010-04-27,12,9.0,0.75,0.75,1,0.75
15036,2010-04-28,38,29.56,0.9266666666666667,0.75,3,0.7778947368421052
15036,2010-04-29,26,26.92,1.0150000000000001,1.0150000000000001,2,1.0353846153846153
15036,2010-05-02,72,54.0,0.75,0.75,2,0.75
15036,2010-05-04,26,33.28,1.28,1.28,2,1.28
15036,2010-05-05,39,30.84,0.9266666666666667,0.75,3,0.7907692307692308
15036,2010-05-06,283,215.96,0.9266666666666667,0.75,6,0.7631095406360424
15036,2010-05-07,120,68.88,0.64,0.64,2,0.574
15036,2010-05-10,49,37.28,0.9266666666666667,0.75,3,0.7608163265306123
15036,2010-05-11,60,45.0,0.75,0.75,4,0.75
15036,2010-05-13,662,437.56,0.836,0.75,5,0.6609667673716012
15036,2010-05-14,408,212.16,0.52,0.52,1,0.52
15036,2010-05-17,24,18.0,0.75,0.75,1,0.75
15036,2010-05-18,13,10.28,1.0150000000000001,1.0150000000000001,2,0.7907692307692307
15036,2010-05-20,12,9.0,0.75,0.75,1,0.75
15036,2010-05-21,1,1.28,1.28,1.28,1,1.28
15036,2010-05-23,24,18.0,0.75,0.75,1,0.75
15036,2010-05-24,636,417.0,0.725,0.75,4,0.6556603773584906
15036,2010-05-25,51,46.2,0.8825000000000001,0.75,4,0.9058823529411765
15036,2010-05-27,171,129.84,0.8825000000000001,0.75,4,0.7592982456140351
15036,2010-05-28,24,18.0,0.75,0.75,1,0.75
15036,2010-05-30,12,9.0,0.75,0.75,1,0.75
15036,2010-06-01,12,15.36,1.28,1.28,1,1.28
15036,2010-06-02,258,172.68,0.8933333333333334,0.75,3,0.6693023255813954
15036,2010-06-03,85,64.81,0.8560000000000001,0.75,5,0.7624705882352941
15036,2010-06-04,37,28.28,0.9266666666666667,0.75,3,0.7643243243243244
15036,2010-06-06,12,9.0,0.75,0.75,1,0.75
15036,2010-06-07,636,417.0,0.7166666666666667,0.75,3,0.6556603773584906
15036,2010-06-08,84,63.0,0.75,0.75,3,0.75
15036,2010-06-09,61,46.28,0.9266666666666667,0.75,3,0.758688524590164
15036,2010-06-10,60,45.0,0.75,0.75,2,0.75
15036,2010-06-11,205,154.28,0.8257142857142857,0.75,7,0.7525853658536585
15036,2010-06-13,48,36.0,0.75,0.75,2,0.75
15036,2010-06-14,74,56.56,0.9266666666666667,0.75,3,0.7643243243243244
15036,2010-06-15,37,28.28,0.8825000000000001,0.75,4,0.7643243243243244
15036,2010-06-16,49,37.28,0.8825000000000001,0.75,4,0.7608163265306123
15036,2010-06-17,24,18.0,0.75,0.75,2,0.75
15036,2010-06-20,48,36.0,0.75,0.75,3,0.75
15036,2010-06-21,40,32.120000000000005,0.8825000000000001,0.75,4,0.8030000000000002
15036,2010-06-22,101,97.48,0.8560000000000001,0.75,5,0.9651485148514852
15036,2010-06-23,659,362.08,0.825,0.75,4,0.5494385432473444
15036,2010-06-24,12,9.0,0.75,0.75,1,0.75
15036,2010-06-25,27,21.84,0.9266666666666667,0.75,3,0.8088888888888889
15036,2010-06-27,732,489.0,0.7375,0.75,8,0.6680327868852459
15036,2010-06-28,165,134.88,1.1033333333333333,1.28,3,0.8174545454545454
15036,2010-06-29,105,83.52,0.9620000000000001,0.75,5,0.7954285714285714
15036,2010-06-30,694,465.8,0.8871428571428571,0.75,7,0.6711815561959654
15036,2010-07-01,156,117.0,0.75,0.75,4,0.75
15036,2010-07-02,12,9.0,0.75,0.75,1,0.75
15036,2010-07-04,201,150.75,0.75,0.75,2,0.75
15036,2010-07-05,200,154.24,0.8825000000000001,0.75,4,0.7712
15036,2010-07-06,28,23.12,1.1033333333333333,1.28,3,0.8257142857142857
15036,2010-07-07,77,60.4,0.8560000000000001,0.75,5,0.7844155844155843
15036,2010-07-08,12,9.0,0.75,0.75,1,0.75
15036,2010-07-09,614,407.92,0.9650000000000001,0.9650000000000001,2,0.6643648208469055
15036,2010-07-11,12,9.0,0.75,0.75,1,0.75
15036,2010-07-12,135,134.64,0.9620000000000001,0.75,5,0.9973333333333332
15036,2010-07-13,123,112.92,0.9266666666666667,0.75,6,0.9180487804878049
15036,2010-07-14,36,27.0,0.75,0.75,2,0.75
15036,2010-07-15,147,102.24000000000001,0.8216666666666667,0.75,6,0.6955102040816327
15036,2010-07-16,40,32.12,0.8825000000000001,0.75,4,0.8029999999999999
15036,2010-07-18,96,72.0,0.75,0.75,2,0.75
15036,2010-07-19,199,165.68,0.9266666666666667,0.75,3,0.8325628140703518
15036,2010-07-20,36,27.0,0.75,0.75,3,0.75
15036,2010-07-21,99,101.28,1.0150000000000001,1.0150000000000001,4,1.023030303030303
15036,2010-07-22,823,508.04,0.7942857142857144,0.75,7,0.6173025516403402
15036,2010-07-23,51,65.28,1.28,1.28,1,1.28
15036,2010-07-25,576,380.40000000000003,0.7166666666666667,0.75,3,0.6604166666666668
15036,2010-07-26,24,18.0,0.75,0.75,1,0.75
15036,2010-07-29,40,51.2,1.28,1.28,1,1.28
15036,2010-07-30,48,36.0,0.75,0.75,1,0.75
